Src_Modifiers,Src_Num_Parameters,Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,commonVariableAccess,commonFieldAccess,commonInvocation,commonTypeAccess,commonTypedElement,commonModifiable
"[public]",1,2,1,2,6,0,0,0,0,1,0,2,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
"[private]",0,3,1,3,5,0,0,0,1,0,0,2,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[public]",1,2,2,0,3,1,0,0,1,0,0,7,2,0,0,0,7,2,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0
"[protected]",2,4,1,1,9,0,0,0,1,0,0,12,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"[protected]",2,4,1,1,9,0,0,0,1,0,0,12,1,0,0,0,12,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0
"[public]",1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[public]",0,3,2,0,6,1,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0
"[protected]",0,5,2,3,13,0,0,0,2,0,0,16,8,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
"[protected]",2,9,5,7,16,0,0,0,3,0,0,15,0,0,0,0,21,3,4,11,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,2,0
"[protected]",2,10,6,7,16,0,0,0,3,0,0,16,0,0,0,0,22,4,4,11,0,0,0,2,0,0,11,0,0,0,0,0,0,0,1,2,0
"[public]",1,1,1,4,3,0,0,0,4,0,0,9,2,0,0,0,8,0,3,2,0,0,0,2,0,0,5,2,0,0,0,1,0,0,1,2,0
"[public]",2,4,7,10,14,2,0,2,4,0,0,44,15,3,0,4,21,3,6,3,1,0,1,3,0,0,24,8,1,0,4,2,0,0,1,6,0
"[public]",0,4,2,1,9,0,0,0,0,0,0,2,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[public]",0,7,3,3,11,1,0,1,2,0,0,16,9,0,0,3,6,0,0,2,0,0,0,0,0,0,5,4,0,0,2,1,1,0,1,3,0
"[protected]",2,3,12,18,8,1,0,1,6,1,0,51,11,4,0,1,24,8,9,3,1,0,1,2,1,0,33,6,2,0,1,8,4,0,2,14,0
