Git Repo	Before Hash	After Hash	Extracted From Method Name	Extracted To Method Name	FQ Class Name
https://github.com/SecUpwN/Android-IMSI-Catcher-Detector.git	259b169048d09943706e6796a5dc1e80af994b56	e235f884f2e0bc258da77b9c80492ad33386fa86			
			public onCreate(database SQLiteDatabase) : void	private createCellSignalTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createOpenCellIDTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createDefaultMCCTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createLocationTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createSilentSmsTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createCellTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createEventLogTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
					
https://github.com/crashub/crash.git	3224abedd01aaa85aae9ae3399efe92557f42e55	2801269c7e47bd6e243612654a74cee809d20959			
			public loadKeys() : Iterable&lt;KeyPair&gt;	private convertPemKeyPair(pemKeyPair PEMKeyPair) : KeyPair	org.crsh.auth.FilePublicKeyProvider
					
https://github.com/JetBrains/intellij-community.git	5668313966f6057ab89ddf56f8a5bc8c61261cbb	7655200f58293e5a30bf8b3cbb29ebadae374564			
			public getLine() : int	private checkRemap() : void	public getOffset() : int
					
https://github.com/oblac/jodd.git	0cea98ced0330c8bdea8d22c1a21b8322ef1c5db	722ef9156896248ef3fbe83adde0f6ff8f46856a			
			protected formBuffer() : Buffer	protected resolveFormEncoding() : String	jodd.http.HttpBase
					
https://github.com/JetBrains/intellij-community.git		7a4dab88185553bd09e827839fdf52e870ef7088			
			private getJarFile(name String) : VirtualFile	private getDataFile(name String) : File	com.intellij.codeInsight.JavaExternalDocumentationTest
			public testImagesInsideJavadocJar() : void	private getDocumentationText(sourceEditorText String) : String	com.intellij.codeInsight.JavaExternalDocumentationTest
					
https://github.com/fabric8io/fabric8.git	374c36e511fef3c266f64c9d9923dfe5403be7bd	8127b21a220ca677c4e59961d019e7753da7ea6e			
			protected getLivenessProbe() : Probe	protected getProbe(prefix String) : Probe	io.fabric8.maven.JsonMojo
					
https://github.com/puniverse/quasar.git	8b82ea055d01298d0cbac886d3f59230418dfb8e	c22d40fab8dfe4c5cad9ba582caf0855ff64b324			
			public onSubscribe(s Subscription) : void	protected failedSubscribe(s Subscription) : void	co.paralleluniverse.strands.channels.reactivestreams.ChannelSubscriber
					
https://github.com/rstudio/rstudio.git	42c7560174f6f64cc933d42151bb45f9b773ced1	cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe			
			protected wrapMenuBar(menuBar ToolbarMenuBar) : Widget	protected setMaxHeight(maxHeight int) : void	org.rstudio.core.client.widget.ScrollableToolbarPopupMenu
					
https://github.com/JetBrains/intellij-community.git	5bbef7e136eccf408bbbd3330a40ba2ec468e912	7ed3f273ab0caf0337c22f0b721d51829bb0c877			
			public getCourses() : List&lt;CourseInfo&gt;	private addCoursesFromStepic(result List&lt;CourseInfo&gt;, pageNumber int) : boolean	com.jetbrains.edu.stepic.EduStepicConnector
					
https://github.com/datastax/java-driver.git		1edac0e92080e7c5e971b2d56c8753bf44ea8a6c			
			public setMaxSimultaneousRequestsPerHostThreshold(distance HostDistance, newMaxRequests int) : PoolingOptions	public setMaxRequestsPerConnection(distance HostDistance, newMaxRequests int) : PoolingOptions	com.datastax.driver.core.PoolingOptions
			public getMaxSimultaneousRequestsPerHostThreshold(distance HostDistance) : int	public getMaxRequestsPerConnection(distance HostDistance) : int	com.datastax.driver.core.PoolingOptions
			public getMaxSimultaneousRequestsPerConnectionThreshold(distance HostDistance) : int	public getNewConnectionThreshold(distance HostDistance) : int	com.datastax.driver.core.PoolingOptions
			public setMaxSimultaneousRequestsPerConnectionThreshold(distance HostDistance, newMaxSimultaneousRequests int) : PoolingOptions	public setNewConnectionThreshold(distance HostDistance, newValue int) : PoolingOptions	com.datastax.driver.core.PoolingOptions
					
https://github.com/JetBrains/intellij-community.git	9c3a8ee7fd52c9bd52a8676e854b00878ff51874	cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b			
			private canBeUnboxed(expression PsiExpression) : boolean	private canBinaryExpressionBeUnboxed(lhs PsiExpression, rhs PsiExpression) : boolean	com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor
					
https://github.com/JetBrains/intellij-community.git	a4bcd91256b6940872c76a0cdad3bc0dbd8c7d1d	138911ce88b05039242b8d1b2bb5b7a59008f5ee			
