Repo	Before	After	Extracted From Method Name	Extracted To Method Name	FQ Class Name
https://github.com/liferay/liferay-portal	47ecaacee200fda183c6adf195e6891b898c9edf	59fd9e696cec5f2ed44c27422bbc426b11647321			
			public addDependency(project Project, configurationName String, group String, name String, version String, transitive boolean) : Dependency	public addDependency(project Project, configurationName String, group String, name String, version String, classifier String, transitive boolean) : Dependency	com.liferay.gradle.util.GradleUtil
					
https://github.com/JetBrains/intellij-community.git	5668313966f6057ab89ddf56f8a5bc8c61261cbb	7655200f58293e5a30bf8b3cbb29ebadae374564	public getLine() : int	private checkRemap() : void	com.intellij.debugger.engine.RemappedSourcePosition
	5668313966f6057ab89ddf56f8a5bc8c61261cbb	7655200f58293e5a30bf8b3cbb29ebadae374564	public getOffset() : int	private checkRemap() : void	com.intellij.debugger.engine.RemappedSourcePosition
					
https://github.com/JetBrains/intellij-community.git		7a4dab88185553bd09e827839fdf52e870ef7088	private getJarFile(name String) : VirtualFile	private getDataFile(name String) : File	com.intellij.codeInsight.JavaExternalDocumentationTest
					
https://github.com/JetBrains/intellij-community.git	5bbef7e136eccf408bbbd3330a40ba2ec468e912	7ed3f273ab0caf0337c22f0b721d51829bb0c877	public getCourses() : List&lt;CourseInfo&gt;	private addCoursesFromStepic(result List&lt;CourseInfo&gt;, pageNumber int) : boolean	com.jetbrains.edu.stepic.EduStepicConnector
					
https://github.com/JetBrains/intellij-community.git	9c3a8ee7fd52c9bd52a8676e854b00878ff51874	cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b	private canBeUnboxed(expression PsiExpression) : boolean	private canBinaryExpressionBeUnboxed(lhs PsiExpression, rhs PsiExpression) : boolean	com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor
					
https://github.com/JetBrains/intellij-community.git	a4bcd91256b6940872c76a0cdad3bc0dbd8c7d1d	138911ce88b05039242b8d1b2bb5b7a59008f5ee	public getHTMLEditorKit() : HTMLEditorKit	public getHTMLEditorKit(noGapsBetweenParagraphs boolean) : HTMLEditorKit	com.intellij.util.ui.UIUtil
					
					
https://github.com/JetBrains/intellij-community.git	bdabf14d5d6cb693a0972e84fa1101ca83ce87d2	484038e916dc40bf87eca10c77889d79eca96c4d	public removeNode(nodePath TreePath) : void	public removeNodes(paths Collection&lt;TreePath&gt;) : void	com.intellij.compiler.options.AnnotationProcessorsPanel.MyTreeModel
					
					
https://github.com/JetBrains/intellij-community.git	84a4da0797bc600d49a4123c632abcec6109faba	219d6ddfd1db62c11efb57e0216436874e087834	public addAdditionalLog(presentableName String) : LoggingHandler	private addAdditionalLoggingHandler(loggingHandler LoggingHandlerBase) : void	com.intellij.remoteServer.impl.runtime.log.DeploymentLogManagerImpl
					
