Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,Ratio_Variable_Access,Ratio_Field_Access,Ratio_Invocation,Ratio_Type_Access,Ratio_Typed_Ele,Ratio_Modifiable,Ratio_Package
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,3,0,9,3,0,0,0,0,0,0,7,4,0,0,0,1.0,1.0,0.0,0.21052631578947367,1.0,0.0,0.19718309859154928
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1,16,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.1469387755102041
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1,7,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.3333333333333333,0.0,0.07346938775510205
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1,10,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.09795918367346938
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,4,2,14,2,0,0,0,0,0,0,9,5,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1,18,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.16326530612244897
7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,4,2,23,2,0,0,0,0,0,0,14,10,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,2,2,1,3,0,0,0,0,0,0,4,0,0,0,0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
8,2,7,11,0,0,0,1,0,0,9,2,0,0,0,3,1,1,0,0,0,0,1,0,0,5,2,0,0,1,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.08064516129032258
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,16,0,0,0,4,1,0,30,0,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
5,0,0,8,0,0,0,0,0,0,6,5,0,0,1,1,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0.2,0.2,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.0,0.8333333333333334
10,7,0,21,2,0,0,2,0,0,25,9,0,0,3,2,1,1,8,0,0,0,2,0,0,14,6,0,0,0,1.0,0.5,0.5,0.5,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,1,0,0,9,3,0,0,0,0.7142857142857143,0.6666666666666666,0.5,0.6,0.7142857142857143,0.0,0.875
1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,6,1,3,6,0,0,0,5,0,0,13,3,0,0,0,1.0,0.0,0.0,0.5,1.0,0.0,1.0
5,3,2,1,0,0,0,1,0,0,3,0,0,0,0,5,12,17,26,2,1,1,7,0,1,47,3,0,0,5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,7,4,14,0,0,0,1,0,0,14,7,0,0,1,1,4,12,30,2,0,0,5,0,0,39,13,0,0,0,1.0,0.75,1.0,1.0,1.0,0.0,1.0
4,0,1,3,0,0,0,0,0,0,5,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,2,0,0,9,4,0,0,2,1.0,0.0,0.0,0.625,1.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,5,17,0,0,0,1,0,0,18,8,0,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0
6,3,2,9,0,0,0,0,0,0,8,3,0,0,0,7,1,1,8,0,0,0,1,0,0,15,8,0,0,1,0.75,0.75,0.0,0.8,0.8,0.0,1.0
3,2,0,3,0,0,0,0,0,0,5,2,0,0,0,9,3,2,8,0,0,0,0,0,0,14,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.7058823529411765
12,2,8,23,1,0,0,2,0,0,23,17,0,0,3,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0.25,0.25,0.0,0.14285714285714285,0.25,0.0,0.15384615384615385
7,1,0,11,1,0,0,0,0,0,15,11,0,0,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0.25,0.25,0.0,0.07142857142857142,0.25,0.0,0.15384615384615385
13,7,7,16,0,0,0,4,0,0,27,6,0,0,0,1,8,7,20,2,2,0,3,0,0,42,8,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,2,15,0,0,0,3,0,1,24,8,0,0,3,2,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2,1,5,0,0,0,2,0,0,10,4,0,0,0,3,2,5,17,0,0,0,4,0,0,25,8,0,0,2,1.0,1.0,1.0,0.5294117647058824,1.0,0.0,1.0
4,0,3,4,0,0,0,1,0,0,3,3,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1.0,1.0,0.0,0.25,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,20,0,0,0,4,0,0,40,11,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
2,1,5,4,0,0,0,1,0,0,7,1,0,0,1,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2,1,5,4,0,0,0,1,0,0,7,1,0,0,1,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2,1,5,4,0,0,0,1,0,0,7,1,0,0,1,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2,1,5,4,0,0,0,1,0,0,7,1,0,0,1,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,1,0,0,0,0,0,6,1,0,0,0,0.6666666666666666,0.0,0.0,0.4,0.6666666666666666,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2,0,0,0,0,2,0,7,7,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,0,0,0,0,0,0,8,7,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,0,0,0,0,0,0,8,7,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,1,2,17,0,0,0,5,0,0,10,0,0,0,1,3,1,2,11,0,0,0,4,0,0,6,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.2
2,1,3,26,0,0,0,1,0,0,16,9,0,0,1,4,1,4,4,0,0,0,0,0,0,7,0,1,0,1,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0
6,5,0,5,0,0,0,0,0,0,10,2,0,0,0,11,10,2,19,2,0,0,3,0,0,38,4,0,0,1,1.0,1.0,0.3333333333333333,0.6153846153846154,1.0,1.0,0.3274336283185841
6,6,0,6,1,0,0,0,0,0,15,2,0,0,0,4,6,4,14,1,0,0,1,0,0,14,3,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,0,0,0,0,0,0,7,0,0,0,0,1.0,0.0,0.0,0.5,1.0,0.0,1.0
11,6,4,10,0,0,0,0,0,0,12,0,0,0,0,6,4,0,6,0,0,0,0,0,0,8,0,0,0,1,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6111111111111112
11,3,6,12,0,0,0,3,0,0,20,12,0,0,0,6,4,5,8,0,0,0,1,1,0,15,1,0,0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0
11,3,6,12,0,0,0,3,0,0,20,12,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.14754098360655737
20,3,13,13,3,1,2,1,0,0,44,30,3,0,8,1,0,0,7,0,0,0,0,0,0,3,2,0,0,0,0.0,0.0,0.08333333333333333,0.018604651162790697,0.08333333333333333,0.0,0.012213740458015267
20,3,13,13,3,1,2,1,0,0,44,30,3,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08333333333333333,0.0071090047393364926,0.08333333333333333,0.0,0.0071090047393364926
4,2,2,2,0,0,0,0,0,0,9,1,0,0,1,3,1,9,11,0,0,0,6,0,0,26,3,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2,2,2,0,0,0,0,0,0,9,1,0,0,1,3,1,9,11,0,0,0,6,0,0,26,3,0,0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,1,0,0,12,0,0,0,0,0.0,0.0,0.0,0.12,1.0,0.0,0.1510791366906475
79,12,44,57,0,0,0,3,0,0,151,81,0,0,32,1,11,7,31,1,0,0,8,0,0,39,4,0,0,2,1.0,0.1875,1.0,1.0,1.0,1.0,0.5333333333333333
79,12,44,58,0,0,0,2,0,0,149,81,0,0,32,20,1,12,49,0,0,0,1,0,0,59,45,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,12,44,57,0,0,0,3,0,0,149,82,0,0,32,7,2,2,17,0,0,0,3,0,0,22,13,0,0,3,1.0,1.0,1.0,0.12612612612612611,1.0,0.3333333333333333,0.3125
79,12,44,58,0,0,0,3,0,0,150,81,0,0,31,3,4,1,35,0,0,0,6,0,0,26,6,1,0,1,1.0,0.3157894736842105,1.0,0.05405405405405406,1.0,1.0,0.5172413793103449
